日本信達株式会社　第10期定時株主総会　WBS,,,,,,,,,,,,,,
開催日（D）,2026-10-06,← この日付を書き換えると、全ての予定日が動きます,,総タスク数,=COUNTA($A$9:$A$91),,増田　主担当,"=SUMIF($J$9:$J$91,""増田"",$I$9:$I$91)",,,,,,
作業開始可能日,2026-08-24,この日より前に着手日が来ると計画が成り立ちません,,合計所要時間,=SUM($I$9:$I$91),,境　主担当,"=SUMIF($J$9:$J$91,""境"",$I$9:$I$91)",,,,,,
1日あたりの投入時間（分／人）,240,この案件に1日何分充てるか。増やすと日程が縮み、減らすと伸びます,,人日換算（480分＝1人日）,=SUM($I$9:$I$91)/480,,未完了の所要時間,"=SUMIF($N$9:$N$91,""<>完了"",$I$9:$I$91)",,,,,,
同時に稼働する人数,2,増田・境の2名,,延べ必要営業日数,"=ROUNDUP(SUM($I$9:$I$91)/($B$4*$B$5),0)",,最も遅い完了日,=MAX($F$9:$F$91),,,,,,
最早着手日,=MIN($E$9:$E$91),"=IF($B$6<$B$3,""要注意：開催日が早すぎます。開催日を後ろにずらすか、1日あたりの投入時間を増やしてください"",""OK：全ての作業が開始可能日以降に収まっています"")",,,,,,,,,,,,
凡例：青文字のセルが手入力欄です（開催日・作業開始可能日・1日あたりの投入時間・同時に稼働する人数・着手日（実績）・完了日（実績）・ステータス）。着手日（予定）と完了日（予定）は所要時間から自動計算されます。,,,,,,,,,,,,,,
No.,カテゴリ,作業名,作業概要,着手日（予定）,完了日（予定）,着手日（実績）,完了日（実績）,所要時間（分）,主担当,副担当,先行作業,期限区分・根拠,ステータス,補足
A-01,前提整理・体制,定款の全条文確認,公告方法・株券発行の有無・議長・定足数・役員の員数と任期・基準日の各条項を洗い出し、今回の手続に影響する条文を一覧化する,"=WORKDAY($F9,-MAX(ROUNDUP($I9/$B$4,0),1)+1)","=WORKDAY($B$2-38+1,-1)",,,120,増田,境,,社内,進行中,公告方法の現在の定めがこの後の議案設計の前提になる
A-02,前提整理・体制,履歴事項全部証明書の取得と現状確認,法務局で登記簿を取得し、役員の任期・株式の譲渡制限に関する規定・公告方法の登記内容を確認する,"=WORKDAY($F10,-MAX(ROUNDUP($I10/$B$4,0),1)+1)","=WORKDAY($B$2-38+1,-1)",,,60,境,増田,,社内,進行中,登記簿と定款の食い違いがないかを必ず突き合わせる
A-03,前提整理・体制,第9期総会の書類一式の確認,第9期の招集通知・議事録・添付書類を確認し、今回の様式のたたき台とする,"=WORKDAY($F11,-MAX(ROUNDUP($I11/$B$4,0),1)+1)","=WORKDAY($B$2-38+1,-1)",,,45,境,増田,,社内,進行中,第9期は株主1名。33名になった今回はそのままでは使えない点を洗い出す
A-04,前提整理・体制,遅延の経緯と是正方針の文書化,基準日（4月30日）から3か月を経過した経緯と、基準日を定めず総会時点の株主名簿によるという方針を書面で残す,"=WORKDAY($F12,-MAX(ROUNDUP($I12/$B$4,0),1)+1)","=WORKDAY($B$2-36+1,-1)",,,60,増田,境,A-01,法定：会社法124条1項・2項,進行中,後日の説明責任に備えた記録。次回の指示書にも転記する
A-05,前提整理・体制,プロジェクト体制と分担表の確定,増田・境の主担当／副担当の割り振りを確定し、副担当が次工程の主担当になる受け渡しの流れを決める,"=WORKDAY($F13,-MAX(ROUNDUP($I13/$B$4,0),1)+1)","=WORKDAY($B$2-39+1,-1)",,,30,増田,境,,社内,進行中,主担当の所要時間の合計がほぼ均等になるよう配分している
A-06,前提整理・体制,司法書士への相談と登記スケジュールの確認,まえだ司法書士事務所（前田大輔氏）に今回の議案を共有し、必要書類・登録免許税・申請日程の見通しを確認する,"=WORKDAY($F14,-MAX(ROUNDUP($I14/$B$4,0),1)+1)","=WORKDAY($B$2-36+1,-1)",,,60,境,増田,A-02,社内,進行中,譲渡制限撤廃・公告方法変更・役員変更を一括申請できるか、登録免許税がいくらになるかを確認する
A-07,前提整理・体制,開催日の逆算と決定,本WBSの日程から最短開催日を算出し、役員の日程・会場と突き合わせて開催日を確定する,"=WORKDAY($F15,-MAX(ROUNDUP($I15/$B$4,0),1)+1)","=WORKDAY($B$2-35+1,-1)",,,75,増田,境,A-04,社内,進行中,確定したらスプレッドシートのB2セルを書き換える。以降の予定日は自動で動く
A-08,前提整理・体制,週次進捗会議の設定とWBS運用の開始,毎週の進捗確認の場を設定し、本WBSの実績欄への記入ルールを決めて運用を始める,"=WORKDAY($F16,-MAX(ROUNDUP($I16/$B$4,0),1)+1)","=WORKDAY($B$2-37+1,-1)",,,30,境,増田,A-05,社内,進行中,実績日の記入が次回の標準形の精度を決める。ここを手抜きしない
