日本信達株式会社　第10期定時株主総会　WBS,,,,,,,,,,,,,,
開催日（D）,2026-10-20,← この日付を書き換えると、全ての予定日が自動で動きます,,総タスク数,=COUNTA($A$7:$A$1000),,主担当 増田,"=COUNTIF($J$7:$J$1000,""増田"")",,,,,,
作業開始可能日,2026-08-24,この日より前に着手日が来ると計画が成り立ちません,,想定総工数（人日）,=SUM($I$7:$I$1000),,主担当 境,"=COUNTIF($J$7:$J$1000,""境"")",,,,,,
最早着手日,=MIN($E$7:$E$1000),"=IF($B$4<$B$3,""要注意：開催日が早すぎます。開催日を後ろにずらしてください"",""OK：全ての作業が開始可能日以降に収まっています"")",,,,,,,,,,,,
,,,,,,,,,,,,,,
No.,カテゴリ,作業名,作業概要,着手日（予定）,完了日（予定）,着手日（実績）,完了日（実績）,実施日数,主担当,副担当,先行作業,期限区分・根拠,ステータス,補足
A-01,前提整理・体制,定款の全条文確認,公告方法・株券発行の有無・議長・定足数・役員の員数と任期・基準日の各条項を洗い出し、今回の手続に影響する条文を一覧化する,=$B$2-50,=$B$2-47,,,"=IF($H7<>"""",NETWORKDAYS($G7,$H7),NETWORKDAYS($E7,$F7))",増田,境,,社内,未着手,公告方法の現在の定めがこの後の議案設計の前提になる
A-02,前提整理・体制,履歴事項全部証明書の取得と現状確認,法務局で登記簿を取得し、役員の任期・株式の譲渡制限に関する規定・公告方法の登記内容を確認する,=$B$2-50,=$B$2-48,,,"=IF($H8<>"""",NETWORKDAYS($G8,$H8),NETWORKDAYS($E8,$F8))",境,増田,,社内,未着手,登記簿と定款の食い違いがないかを必ず突き合わせる
A-03,前提整理・体制,第9期総会の書類一式の確認,第9期の招集通知・議事録・添付書類を確認し、今回の様式のたたき台とする,=$B$2-49,=$B$2-47,,,"=IF($H9<>"""",NETWORKDAYS($G9,$H9),NETWORKDAYS($E9,$F9))",境,増田,,社内,未着手,第9期は株主1名。33名になった今回はそのままでは使えない点を洗い出す
A-04,前提整理・体制,遅延の経緯と是正方針の文書化,基準日（4月30日）から3か月を経過した経緯と、基準日を定めず総会時点の株主名簿によるという方針を書面で残す,=$B$2-48,=$B$2-45,,,"=IF($H10<>"""",NETWORKDAYS($G10,$H10),NETWORKDAYS($E10,$F10))",増田,境,A-01,法定：会社法124条1項・2項,未着手,後日の説明責任に備えた記録。次回の指示書にも転記する
A-05,前提整理・体制,プロジェクト体制と分担表の確定,増田・境の主担当／副担当の割り振りを確定し、副担当が次工程の主担当になる受け渡しの流れを決める,=$B$2-48,=$B$2-46,,,"=IF($H11<>"""",NETWORKDAYS($G11,$H11),NETWORKDAYS($E11,$F11))",増田,境,,社内,未着手,本WBSの主担当件数がほぼ均等になるよう配分している
A-06,前提整理・体制,司法書士への相談と登記スケジュールの確認,まえだ司法書士事務所（前田大輔氏）に今回の議案を共有し、必要書類・登録免許税・申請日程の見通しを確認する,=$B$2-47,=$B$2-44,,,"=IF($H12<>"""",NETWORKDAYS($G12,$H12),NETWORKDAYS($E12,$F12))",境,増田,A-02,社内,未着手,譲渡制限撤廃・公告方法変更・役員変更を一括申請できるか、登録免許税がいくらになるかを確認する
